"country","iso3c","genus_cat","Exports","Imports","Reexports","perc_imp_reexport","perc_exports_reexport"
"Portugal","PRT","Aquatic Animals; Others",163,346,0,0,0
"Portugal","PRT","Cephalopods",33516,64878,0,0,0
"Portugal","PRT","Crustaceans",10108,36831,0,0,0
"Portugal","PRT","Demersal Fish",73472,235719,0,0,0
"Portugal","PRT","Freshwater Fish",6907,35117,0,0,0
"Portugal","PRT","Marine Fish; Other",19760,44839,0,0,0
"Portugal","PRT","Moluscs; Other",14241,24434,0,0,0
"Portugal","PRT","Pelagic Fish",126738,122538,0,0,0
"Qatar","QAT","Marine Fish; Other",798,415,0,0,0
"Romania","ROU","Aquatic Animals; Others",124,308,0,0,0
"Romania","ROU","Cephalopods",149,1289,0,0,0
"Romania","ROU","Crustaceans",150,1753,0,0,0
"Romania","ROU","Demersal Fish",66,15345,0,0,0
"Romania","ROU","Freshwater Fish",685,26225,0,0,0
"Romania","ROU","Marine Fish; Other",1052,11479,0,0,0
"Romania","ROU","Moluscs; Other",788,896,0,0,0
"Romania","ROU","Pelagic Fish",1130,62999,0,0,0
"Russian Federation","RUS","Aquatic Animals; Others",15877,107,0,0,0
"Russian Federation","RUS","Cephalopods",9103,22999,0,0,0
"Russian Federation","RUS","Crustaceans",87862,41941,0,0,0
"Russian Federation","RUS","Demersal Fish",1447028,79441,0,0,0
"Russian Federation","RUS","Freshwater Fish",109906,137458,0,0,0
"Russian Federation","RUS","Marine Fish; Other",148956,125498,0,0,0
"Russian Federation","RUS","Moluscs; Other",12999,13536,0,0,0
"Russian Federation","RUS","Pelagic Fish",502312,244977,0,0,0
"Rwanda","RWA","Demersal Fish",0.1,10.61,0,0,0
"Saint Helena","SHN","Crustaceans",249,83,0,0,0
"Saint Helena","SHN","Demersal Fish",402,NA,0,NA,0
"Saint Helena","SHN","Marine Fish; Other",77,5,0,0,0
"Saint Helena","SHN","Pelagic Fish",209,11,0,0,0
"Saint Kitts and Nevis","KNA","Moluscs; Other",8,11,0,0,0
"Saint Vincent/Grenadines","VCT","Crustaceans",173,16,0,0,0
"Saint Vincent/Grenadines","VCT","Freshwater Fish",4,2,0,0,0
"Saint Vincent/Grenadines","VCT","Marine Fish; Other",63,260,0,0,0
"Samoa","WSM","Demersal Fish",1,33,0,0,0
"Samoa","WSM","Freshwater Fish",50,65,0,0,0
"Samoa","WSM","Marine Fish; Other",81,75,0,0,0
"Samoa","WSM","Pelagic Fish",7022,4170,0,0,0
"Sao Tome and Principe","STP","Cephalopods",1,1,0,0,0
"Saudi Arabia","SAU","Cephalopods",475,1273,0,0,0
"Saudi Arabia","SAU","Crustaceans",41668,12833,0,0,0
"Saudi Arabia","SAU","Demersal Fish",4585,31265,0,0,0
"Saudi Arabia","SAU","Freshwater Fish",4050,122775,0,0,0
"Saudi Arabia","SAU","Marine Fish; Other",5277,27219,0,0,0
"Saudi Arabia","SAU","Moluscs; Other",1123,152,0,0,0
"Saudi Arabia","SAU","Pelagic Fish",5672,67170,0,0,0
"Senegal","SEN","Aquatic Animals; Others",2,14,0,0,0
"Senegal","SEN","Cephalopods",9362,86,0,0,0
"Senegal","SEN","Crustaceans",4604,270,0,0,0
"Senegal","SEN","Demersal Fish",8150,189,0,0,0
"Senegal","SEN","Freshwater Fish",3299,422,0,0,0
"Senegal","SEN","Marine Fish; Other",78674,14720,0,0,0
"Senegal","SEN","Moluscs; Other",3105,26,0,0,0
"Senegal","SEN","Pelagic Fish",132398,15414,0,0,0
"Serbia","SRB","Aquatic Animals; Others",110,63,0,0,0
"Serbia","SRB","Cephalopods",39,1068,0,0,0
"Serbia","SRB","Crustaceans",29,111,0,0,0
"Serbia","SRB","Demersal Fish",180,9602,0,0,0
"Serbia","SRB","Freshwater Fish",1214,9861,0,0,0
"Serbia","SRB","Marine Fish; Other",184,1992,0,0,0
"Serbia","SRB","Moluscs; Other",4,67,0,0,0
"Serbia","SRB","Pelagic Fish",839,16686,0,0,0
"Seychelles","SYC","Demersal Fish",25,NA,0,NA,0
"Seychelles","SYC","Marine Fish; Other",3088,67,0,0,0
"Seychelles","SYC","Moluscs; Other",51,75,0,0,0
"Seychelles","SYC","Pelagic Fish",156303,76702,0,0,0
"Sierra Leone","SLE","Demersal Fish",1355,NA,0,NA,0
"Sierra Leone","SLE","Freshwater Fish",88,1,0,0,0
"Sierra Leone","SLE","Marine Fish; Other",1058,714,0,0,0
