"species","nutrient","nutrient_units","value","ssd","count","se","lower_ci","upper_ci","taxa_match","genus_cat"
"nemipterus japonicus","Calcium","mg",798.63,NA,1,NA,NA,NA,"species","Demersal Fish"
"sphyraena obtusata","Calcium","mg",177.18,NA,1,NA,NA,NA,"species","Demersal Fish"
"rastrelliger brachysoma","Calcium","mg",46,NA,1,NA,NA,NA,"species","Pelagic Fish"
"sardinella fimbriata","Calcium","mg",164.29,NA,1,NA,NA,NA,"species","Pelagic Fish"
"homarus americanus","Calcium","mg",55,14.7410990092327,5,6.5924198895398,40.2965080662786,76.9034919337214,"species","Crustaceans"
"stenodus leucichthys","Calcium","mg",18,62.4686588085044,4,31.2343294042522,0,145.901576210577,"species","Demersal Fish"
"anguilla rostrata","Calcium","mg",20,20.0997512422418,5,8.98888202169769,9.042862509657,58.957137490343,"species","Demersal Fish"
"merluccius bilinearis","Calcium","mg",45,NA,1,NA,NA,NA,"species","Demersal Fish"
"pseudopleuronectes americanus","Calcium","mg",13.1,0.141421356237309,2,0.0999999999999996,11.8293795263825,14.3706204736175,"species","Demersal Fish"
"zoarces americanus","Calcium","mg",10,NA,1,NA,NA,NA,"species","Demersal Fish"
"anoplopoma fimbria","Calcium","mg",35,8.94427190999916,5,4,19.8942195792088,42.1057804207912,"species","Demersal Fish"
"gadus macrocephalus","Calcium","mg",12.5,11.2327200623892,16,2.80818001559729,11.0395059819051,23.0104940180949,"species","Demersal Fish"
"hippoglossus stenolepis","Calcium","mg",22,13.5277492584687,3,7.81024967590665,0,54.6047920880646,"species","Demersal Fish"
"oncorhynchus gorbuscha","Calcium","mg",13,2.68328157299975,5,1.2,8.46826587376265,15.1317341262374,"species","Demersal Fish"
"oncorhynchus kisutch","Calcium","mg",36,12.3935467078637,6,5.05964425626941,14.9937703800523,41.0062296199477,"species","Demersal Fish"
"ophiodon elongatus","Calcium","mg",25,17.155174146595,5,7.67202711152665,7.29903787925706,49.9009621207429,"species","Demersal Fish"
"sebastes alutus","Calcium","mg",28,8.48528137423857,2,6,0,104.237228417048,"species","Demersal Fish"
"sebastes pinniger","Calcium","mg",9,NA,1,NA,NA,NA,"species","Demersal Fish"
"alosa sapidissima","Calcium","mg",47,14.5791632132986,5,6.52,22.3775779141104,58.5824220858896,"species","Pelagic Fish"
"merluccius productus","Calcium","mg",10.4,20.9086903782454,3,12.0716380182825,0,73.8067329385774,"species","Pelagic Fish"
"oncorhynchus keta","Calcium","mg",12,10.4246212052394,11,3.1431415563056,9.45118963564834,23.4579012734426,"species","Pelagic Fish"
"oncorhynchus nerka","Calcium","mg",6,53.2781224644162,10,16.8480216444939,0,62.762872842071,"species","Pelagic Fish"
"oncorhynchus tshawytscha","Calcium","mg",21,20.138081669646,10,6.3682205782568,10.0640842046175,38.8759157953825,"species","Pelagic Fish"
"crassostrea virginica","Calcium","mg",55.5,9.32642176062947,8,3.29738803557344,46.3279162841712,61.9220837158288,"species","Moluscs; Other"
"spisula solidissima","Calcium","mg",41,0,2,0,41,41,"species","Moluscs; Other"
"euphausia superba","Calcium","mg",360,NA,1,NA,NA,NA,"species","Crustaceans"
"scomber japonicus","Calcium","mg",10,5.65685424949238,2,4,0,60.8248189446988,"species","Pelagic Fish"
"ostrea chilensis","Calcium","mg",44,NA,1,NA,NA,NA,"species","Moluscs; Other"
"todarodes pacificus","Calcium","mg",12,1.4142135623731,2,1,0,24.7062047361747,"species","Cephalopods"
"metapenaeus joyneri","Calcium","mg",56,NA,1,NA,NA,NA,"species","Crustaceans"
"portunus trituberculatus","Calcium","mg",110,NA,1,NA,NA,NA,"species","Crustaceans"
"acanthopagrus schlegelii","Calcium","mg",13,NA,1,NA,NA,NA,"species","Demersal Fish"
"arctoscopus japonicus","Calcium","mg",60,NA,1,NA,NA,NA,"species","Demersal Fish"
"conger myriaster","Calcium","mg",75,NA,1,NA,NA,NA,"species","Demersal Fish"
"dasyatis akajei","Calcium","mg",4,NA,1,NA,NA,NA,"species","Demersal Fish"
"lateolabrax japonicus","Calcium","mg",12.5,0.707106781186548,2,0.5,6.14689763191265,18.8531023680873,"species","Demersal Fish"
"nemipterus virgatus","Calcium","mg",44,NA,1,NA,NA,NA,"species","Demersal Fish"
"pagrus major","Calcium","mg",11.5,6.37704215656966,4,3.18852107828483,2.85270287509321,23.1472971249068,"species","Demersal Fish"
"paralichthys olivaceus","Calcium","mg",22,11.13552872566,3,6.42910050732864,0,47.6621868476912,"species","Demersal Fish"
"stephanolepis cirrhifer","Calcium","mg",13,NA,1,NA,NA,NA,"species","Demersal Fish"
"trachurus japonicus","Calcium","mg",61,25.6515106767613,4,12.8257553383807,9.18272231089768,90.8172776891023,"species","Demersal Fish"
"takifugu rubripes","Calcium","mg",6,NA,1,NA,NA,NA,"species","Demersal Fish"
"cololabis saira","Calcium","mg",26,10.5039675043925,3,6.06446846622008,0,51.759968467328,"species","Pelagic Fish"
"decapterus maruadsi","Calcium","mg",53,NA,1,NA,NA,NA,"species","Pelagic Fish"
"engraulis japonicus","Calcium","mg",60,NA,1,NA,NA,NA,"species","Pelagic Fish"
"hyporhamphus sajori","Calcium","mg",41,NA,1,NA,NA,NA,"species","Pelagic Fish"
"larimichthys polyactis","Calcium","mg",175,NA,1,NA,NA,NA,"species","Pelagic Fish"
"pennahia argentata","Calcium","mg",968.5,1317.33993335054,2,931.5,0,12804.3297117467,"species","Pelagic Fish"
"psenopsis anomala","Calcium","mg",41,NA,1,NA,NA,NA,"species","Pelagic Fish"
"scomberomorus niphonius","Calcium","mg",13.5,4.35889894354067,4,2.17944947177034,8.56401908101196,22.435980918988,"species","Pelagic Fish"
"spratelloides gracilis","Calcium","mg",100,NA,1,NA,NA,NA,"species","Pelagic Fish"
"apostichopus japonicus","Calcium","mg",72,NA,1,NA,NA,NA,"species","Moluscs; Other"
"meretrix lusoria","Calcium","mg",130,NA,1,NA,NA,NA,"species","Moluscs; Other"
"mizuhopecten yessoensis","Calcium","mg",14.5,10.6066017177982,2,7.5,0,109.79653552131,"species","Moluscs; Other"
"mytilus coruscus","Calcium","mg",64,17.5570498660794,4,8.77852493303972,35.8128157610068,91.6871842389932,"species","Moluscs; Other"
"turbo cornutus","Calcium","mg",22,NA,1,NA,NA,NA,"species","Moluscs; Other"
"sinonovacula constricta","Calcium","mg",66,NA,1,NA,NA,NA,"species","Moluscs; Other"
"carassius carassius","Calcium","mg",58,1.4142135623731,2,1,45.2937952638253,70.7062047361747,"species","Demersal Fish"
