"iso3c","nutrient","production_sector","nut_supply","consump"
"AUS","Calcium","Industrial",53160414761.1691,330428.645405903
"AUS","Calcium","Recreational",24714626556.8873,165620.95470636
"AUS","Calcium","Subsistence",2062243027.53969,11130.128106538
"AUS","DHA+EPA","aquaculture",1001285374.78474,318514.389551474
"AUS","DHA+EPA","Artisanal",45914122.2062267,55774.3150741286
"AUS","DHA+EPA","Import",1219309806.85522,1838962.6958
"AUS","DHA+EPA","Industrial",413704054.647145,330428.645405903
"AUS","DHA+EPA","Recreational",133694539.086936,165620.95470636
"AUS","DHA+EPA","Subsistence",10202602.6326593,11130.128106538
"AUS","Iron","aquaculture",375498090.203691,318514.389551474
"AUS","Iron","Artisanal",105203138.1548,55774.3150741286
"AUS","Iron","Import",3788213781.35333,1838962.6958
"AUS","Iron","Industrial",646320703.645295,330428.645405903
"AUS","Iron","Recreational",223103014.603666,165620.95470636
"AUS","Iron","Subsistence",28181827.535171,11130.128106538
"AUS","Vitamin A","aquaculture",7775085109.27891,318514.389551474
"AUS","Vitamin A","Artisanal",1728759992.59631,55774.3150741286
"AUS","Vitamin A","Import",41940633549,1838962.6958
"AUS","Vitamin A","Industrial",58321569305.0559,330428.645405903
"AUS","Vitamin A","Recreational",6149562118.58303,165620.95470636
"AUS","Vitamin A","Subsistence",373450173.148667,11130.128106538
"AUS","Vitamin B12","aquaculture",2532968815.26197,318514.389551474
"AUS","Vitamin B12","Artisanal",403674360.747372,55774.3150741286
"AUS","Vitamin B12","Import",11769528845.4833,1838962.6958
"AUS","Vitamin B12","Industrial",2131063512.70824,330428.645405903
"AUS","Vitamin B12","Recreational",749591052.616828,165620.95470636
"AUS","Vitamin B12","Subsistence",89718871.8850019,11130.128106538
"AUS","Zinc","aquaculture",591148973.404265,318514.389551474
"AUS","Zinc","Artisanal",107646057.699512,55774.3150741286
"AUS","Zinc","Import",3350007863.26667,1838962.6958
"AUS","Zinc","Industrial",454479154.766089,330428.645405903
